0,0,0,1,0,0,1,0
0,0,2,1,0,1,0,2
43022,16758135,25916,15132,10260,18185,418708,384286
30862,8852,8024,14531,4739,5993,93608,19733
28839,3125,28921,10854,7303,9102,7140,16757296
12285,9991,9121,6115,5087,8680,16755315,16747502
18673,9241,27493,31281,5083,3838,21491,16774292
9098,16752975,27187,10046,6949,7377,86552,28170
2325,2844,4012,2742,781,1671,83031,29888
21815,16746328,13050,13110,10200,8800,16775026,3972
13362,6488,7674,9007,3472,9262,6614,17851
1785,3386,8641,3138,2593,2834,16772060,23768
22172,13644,9002,9431,9147,11015,4499,22648
16763504,11308,9151,12630,4451,11992,16745473,16769420
16759046,5774,2384,6912,9007,8506,9023,16754784
19743,7177,10504,16907,7745,7943,15970,18337
16143,16754895,9923,9377,8820,7473,13519,16752218
16754081,18323,16939,21917,9487,9037,9944,16750358
23795,23704,7401,13295,3862,6272,16773801,27495
18709,11280,24873,7261,5699,12624,62525,16746083
5090,4742,6530,11142,6240,9531,24202,15002
16761586,17684,30985,18267,4703,7998,70679,30205
12480,15704,9049,17036,6365,8123,16754052,14500
20584,9841,16753730,9856,3240,13181,20648,27980
22134,11549,7273,13376,3317,8463,10135,23351
19159,12489,19016,17106,3367,7049,17435,15280
18898,10369,8480,13448,5435,9944,27357,16746827
4968,16749443,9485,11006,13549,11762,13754,31756
12821,7991,17056,19484,4947,6654,19524,7478
954,14168,9182,19011,6031,5070,26786,24255
14914,31210,19485,13071,9989,10140,16748,29835
19917,3385,11400,5233,5624,7941,22772,16747653
3946,13429,16749966,15709,7244,6193,19046,9665
12095,23505,10925,19921,7629,9350,21566,32498
22572,13886,20818,12402,5666,4618,21992,16757345
9230,694,2337,3518,1120,1935,16759111,16755019
6995,8983,13919,16487,6640,7564,16744327,24724
5640,6692,15650,11088,6952,8780,16752066,27667
3744,3402,19686,15732,7114,6914,16751167,85901
20613,19032,8628,12408,8953,12414,32034,18216
11764,10950,16930,15238,4322,5824,20393,30732
24128,23131,22862,16005,5616,12862,16762543,16719
30269,12389,14376,8836,9397,10811,77665,4279
2973,5058,25659,15633,9388,7985,13203,16751711
16979,16751337,1456,31685,2501,8455,551785,16767105
13750,16794,6431,16300,8336,4004,23931,15857
9233,5927,20682,15752,2806,6941,15548,15128
8405,15454,2976,10405,466,1669,392908,81498
3235,3117,748,1358,1289,108,175415,10175
892,247,447,178,244,16777170,83141,3417
5008,3305,1714,5586,3781,2808,16754475,32268
23824,20383,10260,28828,3688,5799,22726,26784
9626,5414,7343,32124,5921,3406,16763121,16770449
7949,14678,16750464,6807,7588,6837,7633,16746240
16758265,2995,18434,7895,7170,3394,23373,29239
16764419,7885,19026,6621,5195,11349,20561,16755882
9303,30688,8609,10946,6006,4962,16747167,20712
13729,3933,6682,19286,10775,9727,30954,80614
11920,2655,24865,6789,5875,7623,329431,16772507
4106,14940,15511,10410,5922,11429,22122,16752692
1007,15447,9674,6268,4810,8088,31264,16746448
21574,3844,11687,29460,11046,6959,27344,31260
5676,1862,6009,1226,1266,937,67429,16768575
17471,31204,4497,18945,7938,8192,10038,14674
14229,5290,7755,11082,12368,8948,17217,16801
16932,7284,3322,24598,4647,8605,16746879,18555
9730,19713,12526,7934,4888,8452,16764740,21529
10320,10446,11223,9650,4928,9737,5986,19858
12387,5495,10526,10672,6454,5538,19089,23576
14839,6673,6178,11639,4604,7841,15638,16750348
16747690,21141,14117,18264,9199,6965,81832,16764486
31144,10594,11630,24261,7074,7391,297583,23413
11678,11665,7578,18196,3510,8081,10240,11868
26207,19204,12607,16472,4369,8992,16748474,24039
15029,12624,7622,12255,4134,8415,17817,16746033
16631,7845,9306,9319,5697,6238,13260,7962
32274,11710,10961,16197,7108,7723,11117,23686
9257,4057,7029,21360,9637,6670,68090,16769113
12807,15319,6123,24425,4687,4331,65623,16747017
5243,21467,16236,12600,8639,6149,8045,16227
12145,5012,15755,8140,5558,4541,3761,16769468
1393,22814,4905,12969,4331,5934,16763826,21394
13518,4287,5455,28262,12102,8201,17198,28831
28242,8096,16374,17112,5795,4495,16748528,26793
67620,16760943,16755544,16771801,5399,5653,81621,85321
17706,8478,8202,7119,4689,5897,16748024,28277
12679,6308,16782,13169,8448,8351,22086,24225
8011,19381,12978,5977,5989,5729,25037,16745391
8961,7921,9201,20240,6993,6261,16368,25916
10159,16744350,3026,7208,9569,5915,30239,15464
26958,20383,10129,20548,7219,4958,17510,8088
14719,10277,25435,8343,3318,5602,16775077,27965
8663,24976,16372,8419,5184,10072,16745788,16747866
13035,3292,7967,12441,11316,5421,66181,7305
12829,21365,12797,6862,11501,9203,18861,16754538
13160,5375,15965,15312,4242,3921,7687,16752480
5073,9492,3637,10016,11573,8288,29803,13577
18199,8847,6245,11278,6596,6170,30010,75745
7692,4360,9833,13890,5072,6634,16766558,8447
2516,12895,12223,9782,3001,6500,28262,6413
6370,13058,12328,15174,3910,10499,16761671,25391
5193,26955,9698,13505,6380,7578,15563,16752252
84838,76327,76044,16749302,10054,8049,208806,16760456
17461,3807,7667,17033,6153,2229,955752,22904
16771518,16755442,21909,26467,4413,7623,182529,68593
31001,23458,4806,12361,4929,9751,297035,78217
24632,26571,9882,10258,7903,6412,273225,16768542
24340,11331,16117,22431,9755,7985,327275,19103
26776,16746780,31285,14233,2691,7244,211520,19998
4635,8122,3287,7010,2386,664,155137,10465
14250,16746222,16767409,7392,4890,5368,67466,90392
8612,16745151,26804,14714,4910,6298,461692,149783
12676,7737,11240,10756,3321,11497,11901,15721
9009,24344,5226,25192,3286,5686,27021,16757760
7609,12774,10429,15201,7926,6912,12507,16774
22904,4233,14492,10252,3470,7574,53854,123332
20849,8165,12542,15664,4081,6136,16773746,16772741
15980,4123,27698,10185,8974,9702,22824,75489
17800,9291,15952,6386,10677,5997,16750469,23305
11216,8905,12745,10349,5494,10541,16745967,16759230
3007,14512,17240,12342,5756,4972,14218,9249
23058,26509,16745284,27822,5732,11703,23502,16763258
10319,5565,4852,20652,4564,7184,18123,16184
8611,19132,12114,14128,5520,8106,15649,5197
15450,26471,19566,7633,5356,4127,28052,71621
8050,6963,9457,8928,4891,10969,6844,13432
11986,11784,8934,14160,3054,8057,16772410,21996
7709,30135,18048,7175,3460,4362,10461,16750027
31681,32123,16755618,16701,7300,6720,327445,19737
4034,4887,2830,2235,749,403,88699,24499
10012,17374,16504,13496,7535,5106,30591,16774953
