0,0,0,0,1,1,3,0
0,0,0,0,0,0,5,1
40198,49407,24610,19370,12419,17687,756837,200017
16748713,13920,20061,15894,12258,6599,1044220,185830
22432,16347,13604,22877,14890,2663,34604,19602
3575,4191,1878,3183,3210,1594,64184,16080
16746147,23693,6034,16299,13613,5579,16745518,20827
1704,3939,2997,4812,2284,2625,86433,8752
17947,11278,13229,28307,5623,2224,22429,16749456
2856,1671,2045,773,707,1064,16756712,10845
12580,16749503,10079,24774,19347,10223,378529,123827
16751455,16762437,24637,10249,6848,3468,20825,16758710
91480,74410,16761994,22062,17620,20239,35944,33481
16752478,21036,16769820,23835,19873,2890,965370,87942
26101,32557,19818,6428,7980,1242,410992,142492
8932,10019,12947,3331,4181,2249,16756909,16759414
4478,25883,16363,17659,4202,6330,71829,77146
28429,7734,10901,3000,7879,1301,87195,65713
16107,14506,14229,8642,3522,393,189479,16747725
25308,23621,16747728,19012,13878,1195,223723,228934
846,1949,2690,2443,2434,674,88426,19143
8343,30647,16755854,21045,13097,1775,278002,16769011
10501,2966,4906,3643,2899,793,68937,17638
16763264,3086,16747358,16759466,12798,5076,1431773,76530
72749,64838,16755682,29354,11937,3841,1659058,348749
6660,7126,4701,3834,4393,1573,94363,11447
13848,3679,6031,8333,3324,1923,1310181,16760955
24569,16753009,21742,15594,15871,9083,652767,16752061
12226,3863,6449,4191,4641,2206,309522,16764387
75426,14003,19854,13858,7267,7454,447928,20703
3782,15628,7526,15326,7851,4320,16760538,68605
20910,24534,22184,29726,27691,4542,721868,44630
111,3560,836,478,564,1064,16756935,6514
2449,11992,25255,21932,10008,4916,876812,16761795
22148,27268,32095,9494,10503,4517,1204860,214431
65947,13240,16757113,24758,13934,13334,16771607,268648
27813,97168,16746776,16748638,16754852,3976,1172685,79829
16751547,9789,16749494,27962,6040,7726,1816044,39002
2504,5386,5596,5768,3039,1046,76227,16745121
16753561,92247,200838,62179,30046,13880,1980316,194107
16755741,29329,30727,8636,9579,12397,86470,117119
