1,0,1,1,2,1,2,1
1,1,1,0,1,2,31,1
23651,18709,9065,3275,3054,3808,66322,16755675
28533,20465,17961,22223,4984,1847,71483,16771607
29126,8876,16752587,18296,7268,4283,15814,25196
23330,16759044,13413,22714,10606,3947,94942,58819
10490,30310,16839,22217,8201,1709,95141,16774565
151254,27054,20859,11541,8337,1480,63921,158375
2805,3702,3137,6176,3065,825,217057,16761972
15166,30420,8280,18925,8452,3090,225264,86681
16751568,10423,21768,16423,9331,4079,16751845,77796
15042,16767575,11910,16749378,13022,1793,16754611,16752866
5560,16762311,16744491,21149,12830,5998,96240,28217
14311,16758420,24352,7642,6838,1736,322109,217782
76320,20836,17118,12262,5273,1295,66037,37593
16755297,16773946,22328,18077,3677,3346,16756731,16760657
25851,10124,19432,26371,17375,4047,94234,87630
5616,26640,16751415,13299,9818,3537,66287,16776456
18381,10456,14270,13829,5553,2439,34144,83140
8849,16752153,8529,18646,12556,7098,16769432,16752775
5985,31747,7332,7927,1498,1810,42220,16750646
3130,86110,10104,16750330,2918,3247,85065,75211
16768345,73613,20951,17146,10508,6244,16754941,55325
22728,26750,16745360,25906,11775,2618,45224,20484
24848,23271,20705,21316,12538,1351,150608,42232
18253,10045,16922,14578,5866,3811,90286,67874
23726,1450,3613,2512,2529,770,58763,31447
16745921,16748638,11964,16761988,6161,1890,168396,16766567
22856,16759387,16762682,19529,8276,2294,340988,139400
1359,20221,11388,4469,1796,16777188,166516,16746196
4942,13525,7929,3494,2137,203,427339,13211
80566,30825,85790,31046,11223,3956,868932,39933
21488,9132,8006,6707,1196,715,16774843,15153
9181,18879,18635,69133,5860,3171,78234,68289
7004,9159,30998,26540,17649,1620,176934,75391
16749335,68510,15595,18963,8548,3337,130181,92037
10423,6740,4920,5801,2386,1283,122016,16748289
32478,23067,16757419,16746219,8629,3938,190162,73980
79988,20094,32615,20457,5895,2533,87152,142526
3725,3556,5783,4225,2417,1037,168540,11337
32241,16359,31099,19528,16313,3768,376584,16771704
79963,16748702,16758553,26461,8017,3561,84458,16776149
7983,16750010,65726,16761325,17792,2235,144098,44611
16759280,16758951,16747822,14301,6483,3060,315039,96276
26455,23094,18187,16762133,14165,2402,16761551,67596
6243,8424,4865,3108,2964,1555,16769449,30374
15035,16749423,16752889,27557,5987,3247,16770505,96722
16747421,16767605,31477,7036,17528,6144,62212,93459
29433,6782,3360,19924,2754,522,215807,16755247
13890,25428,16760940,20332,7820,3558,1251531,16773774
6556,17033,31714,13867,8346,2636,83140,81327
283158,158145,147313,79742,156583,16758337,544867,892925
16744479,16756487,16747650,32243,10006,1623,703289,46748
16,3,6,3,1,1,16777095,52
68924,18188,22113,7833,3232,3808,205815,79807
21687,5169,13976,10500,3424,144,608745,24894
9286,13173,8343,11826,1747,1256,75078,20736
10898,10400,6383,5178,585,156,56504,11167
156307,12945,16746062,20370,23577,11782,805054,125089
62688,16748100,16745313,30001,22163,5361,520785,143690
7550,16994,6056,6830,2482,678,65353,67315
16747206,32535,16754219,24664,9369,2995,1508183,42436
7753,23843,25214,7702,3423,429,862340,12891
69541,16749494,23372,15956,7404,7302,1345483,35740
20755,25177,25788,16753982,7395,2015,174919,97117
29146,17711,72368,29320,8764,7761,406861,135844
23089,16762298,16768665,16761516,16746659,19812,1540337,354820
3842,2981,1563,1192,183,164,80657,6645
70560,57165,85933,87494,31665,2257,1360104,35025
16746857,3318,8344,8349,5427,1222,1687901,32049
136835,83601,16775670,17132,5188,388,2914075,113611
5384,22018,4787,4053,642,124,723292,30381
1178,145,780,223,16777154,99,29848,6639
29424,26531,16747006,16760920,5950,4556,624741,137705
16754140,68171,16766896,15996,9177,3362,1302467,62129
50459,16746247,16745062,24050,11694,2519,264944,65914
16774061,16775593,21763,16917,2711,2554,495158,289140
27055,10436,28261,12378,3631,769,1169840,16769015
8151,2591,5340,3101,665,16777136,410483,29282
1927,4814,3365,928,210,630,27653,5167
16750692,16759563,16745049,21298,16013,4553,1097519,31052
16763796,16745586,16761523,16744610,7673,7342,1360274,16762589
45292,78503,16754524,16749819,7681,2245,398559,443710
7290,1938,2761,1848,657,158,80146,16759060
1614,9169,7675,9283,2536,1032,567058,31173
4129,11841,16521,32255,4677,2549,598049,166874
16749499,17256,16767501,23693,9841,4481,1236744,162597
7312,7100,12613,5738,3470,929,872796,204558
29612,13711,16748652,8801,9597,10006,1569407,194125
705,15300,18467,8774,2818,1909,1021254,18570
575,1352,4640,892,140,109,28661,18576
16304,16745325,16754418,25286,8807,486,370986,148216
4112,10755,5354,3862,692,615,1882589,16753709
6529,7352,10683,8145,2984,385,581158,73007
5651,16753020,10939,13735,7451,1199,2459427,85197
17213,15917,9475,12531,1248,379,2071982,91156
1648,6725,2517,4025,1269,772,16774425,15299
16158,16748939,157906,10961,10587,3091,1159645,447929
16450,25072,31034,16744574,16623,3647,605358,98290
16750988,8384,16758121,26039,11134,1426,1829593,101204
12405,9614,5716,4381,1439,1281,67480,28788
13417,24819,22472,12262,5927,7738,148498,101308
7626,9893,5275,11083,1570,528,131059,17890
17635,11365,16751591,23976,5330,3579,1185894,98601
16752813,9773,21314,21622,9748,3692,1523552,66405
86617,16745586,70041,16412,4776,2737,181229,78317
32122,14454,16209,18517,10146,2437,356952,183409
6064,28205,16759263,24320,8653,3141,931832,87952
13810,4982,3269,2391,1086,238,497299,71958
10707,5021,8443,9365,1713,159,609247,16767591
16764350,17055,16760152,22417,6999,14364,1292947,524326
27266,16124,17180,10064,4890,529,779302,119674
1188,7588,1875,1241,271,111,1546494,16755587
30634,28593,16766889,22296,4557,6002,667192,65609
8405,6900,11836,7273,1702,901,16767462,22987
13606,10140,17796,7413,1583,212,159338,16757953
84755,28320,20674,16754192,6345,2429,2108379,513842
65611,32209,27280,29991,4584,4835,1019917,199280
1460,18740,19160,21151,16702,2678,63737,16753584
4607,16745452,16753951,7688,8432,2486,597261,38298
26882,16747939,11949,9385,3229,1294,819933,63295
5362,12278,2973,3755,3112,417,173323,16765810
4015,1737,3769,1399,582,120,71694,7921
13775,21439,9096,7152,2893,705,654044,16754181
28843,18777,19716,8629,1233,1178,802546,16765896
16881,16010,11053,3140,389,588,771966,16776194
5263,2237,1350,795,293,16777128,312555,19326
1774,1291,1145,698,16777109,35,24143,2150
